Despensa > Cereales, Avenas y Barras > Barras de Cereal	despensa/cereales-avenas-y-barras/barras-de-cereal	exact	37
Hogar, Juguetería y Librería > Librería y Escolares > Libros		none	37
Frutas y Verduras > Frutos Secos y Semillas > Frutos Secos	frutas-y-verduras/frutos-secos-y-semillas/frutos-secos	exact	36
Frutas y Verduras > Verduras > Ensaladas	frutas-y-verduras/verduras/ensaladas	exact	36
Licores, Bebidas y Aguas > Aguas > Aguas Minerales	licores-bebidas-y-aguas/aguas/aguas-minerales	exact	36
Limpieza > Aerosoles y Aromatizantes > Desodorantes Ambientales	limpieza/aerosoles-y-aromatizantes/desodorantes-ambientales	exact	36
Limpieza > Pisos y Muebles > Traperos y Mopas	limpieza/pisos-y-muebles/traperos-y-mopas	exact	36
Quesos y Fiambres > Quesos > Mantecosos y Chanco	quesos-y-fiambres/quesos/mantecosos-y-chanco	exact	36
Despensa > Azúcar y Endulzantes > Endulzantes	despensa/azucar-y-endulzantes/endulzantes	exact	35
Despensa > Conservas > Fruta en Conserva	despensa/conservas/fruta-en-conserva	exact	35
Mascotas > Perros > Alimentos Secos Perros	mascotas/perros/alimentos-secos-perros	exact	35
Cuidado Personal y Bebé > Cuidado Corporal > Cremas y Cuidado Corporal	cuidado-personal-y-bebe/cuidado-corporal/cremas-y-cuidado-corporal	exact	34
Despensa > Conservas > Conservas de Mariscos	despensa/conservas/conservas-de-mariscos	exact	34
Hogar, Juguetería y Librería > Hogar > Organización		none	34
Licores, Bebidas y Aguas > Aguas > Aguas Saborizadas	licores-bebidas-y-aguas/aguas/aguas-saborizadas	exact	34
Panadería y Pastelería > Pastelería > Muffins, Queques y Magdalenas	panaderia-y-pasteleria/pasteleria/muffins-queques-y-magdalenas	exact	34
Cuidado Personal y Bebé > Bebé > Pañales y Toallas Húmedas	cuidado-personal-y-bebe/bebe/panales-y-toallas-humedas	exact	33
Cuidado Personal y Bebé > Jabones > Jabones Líquidos	cuidado-personal-y-bebe/jabones/jabones-liquidos	exact	33
Experiencias Jumbo > Comidas Preparadas > Pastas Frescas y Salsas	experiencias-jumbo/comidas-preparadas/pastas-frescas-y-salsas	exact	33
Hogar, Juguetería y Librería > Hogar > Celebraciones		none	33
Carnes y Pescados > Vacuno > Carnes Americana	carnes-y-pescados	prefix	32
Cuidado Personal y Bebé > Desodorantes > Desodorantes en Aerosol	cuidado-personal-y-bebe/desodorantes/desodorantes-en-aerosol	exact	32
Despensa > Café y Cafeteras > Café en Grano	despensa/cafe-y-cafeteras/cafe-en-grano	exact	32
Despensa > Conservas > Conservas de Verduras	despensa/conservas/conservas-de-verduras	exact	32
Hogar, Juguetería y Librería > Juguetería > Muñecas		none	32
Limpieza > Baño > Cloros y Cloro Gel	limpieza/bano	prefix	32
Despensa > Conservas > Conservas de Pescado	despensa/conservas/conservas-de-pescado	exact	31
Hogar, Juguetería y Librería > Electro y Tecnología > Electrodomésticos		none	31
Hogar, Juguetería y Librería > Juguetería > Autos y Autopistas		none	31
Hogar, Juguetería y Librería > Librería y Escolares > Artículos de Oficina		none	31
Limpieza > Accesorios de Limpieza > Escobas, Palas y Plumeros	limpieza/accesorios-de-limpieza/escobas-palas-y-plumeros	exact	31
Quesos y Fiambres > Fiambres > Salames y Tocinos	quesos-y-fiambres/fiambres/salames-y-tocinos	exact	31
Despensa > Aderezos y Salsas > Ají y Salsas Picantes	despensa/aderezos-y-salsas/aji-y-salsas-picantes	exact	30
Despensa > Cereales, Avenas y Barras > Avena y Granola	despensa/cereales-avenas-y-barras/avena-y-granola	exact	30
Farmacia > Dermocosmética > Cuidado Facial	farmacia/dermocosmetica	prefix	30
Limpieza > Limpieza de Ropa > Detergente Líquido	limpieza/limpieza-de-ropa/detergente-liquido	exact	30
Quesos y Fiambres > Fiambres > Pechuga de Pavo y Pollo	quesos-y-fiambres/fiambres/pechuga-de-pavo-y-pollo	exact	30
Despensa > Sopas, Cremas e Instantáneos > Cremas y Sopas	despensa/sopas-cremas-e-instantaneos/cremas-y-sopas	exact	29
Quesos y Fiambres > Salchichas y Parrilleros > Longanizas y Chorizos	quesos-y-fiambres/salchichas-y-parrilleros/longanizas-y-chorizos	exact	29
Chocolates, Galletas y Snacks > Dulces > Gomitas y Chicles	chocolates-galletas-y-snacks/dulces	prefix	28
Cuidado Personal y Bebé > Cuidado Capilar > Cepillos de Pelo y Accesorios	cuidado-personal-y-bebe/cuidado-capilar/cepillos-de-pelo-y-accesorios	exact	28
Despensa > Aceites, Sal y Condimentos > Sal	despensa/aceites-sal-y-condimentos/sal	exact	28
Despensa > Aderezos y Salsas > Mayonesa	despensa/aderezos-y-salsas/mayonesa	exact	28
Despensa > Té, Infusiones y Mate > Té Negro Ceylán	despensa/te-infusiones-y-mate/te-negro-ceylan	exact	28
Farmacia > Higiene Bucal Especialidad > Cepillos Dentales	farmacia/higiene-bucal-especialidad/cepillos-dentales	exact	28
Licores, Bebidas y Aguas > Jugos > Jugos Frescos	licores-bebidas-y-aguas/jugos/jugos-frescos	exact	28
Limpieza > Accesorios de Limpieza > Bolsas de Basura y Bolsas Reutilizables	limpieza/accesorios-de-limpieza/bolsas-de-basura-y-bolsas-reutilizables	exact	28
Limpieza > Cocina > Limpiadores Cocina	limpieza/cocina/limpiadores-cocina	exact	28
Quesos y Fiambres > Quesos > Cabra y Oveja	quesos-y-fiambres/quesos/cabra-y-oveja	exact	28
Cuidado Personal y Bebé > Cuidado Masculino > Máquinas y Repuestos de Afeitar	cuidado-personal-y-bebe/cuidado-masculino/maquinas-y-repuestos-de-afeitar	exact	27
Hogar, Juguetería y Librería > Electro y Tecnología > Tecnología		none	27
Hogar, Juguetería y Librería > Juguetería > Juguetes Bebés y Preescolares		none	27
Lácteos, Huevos y Congelados > Leches Cultivadas y Bebidas Lácteas > Bebidas Lácteas y Probióticos	lacteos-huevos-y-congelados/leches-cultivadas-y-bebidas-lacteas/bebidas-lacteas-y-probioticos	exact	27
Cuidado Personal y Bebé > Solares y Autobronceantes	cuidado-personal-y-bebe/solares-y-autobronceantes	exact	26
Despensa > Cereales, Avenas y Barras > Barras de Proteína	despensa/cereales-avenas-y-barras/barras-de-proteina	exact	26
Despensa > Té, Infusiones y Mate > Té Saborizados y Especiales	despensa/te-infusiones-y-mate/te-saborizados-y-especiales	exact	26
Mascotas > Gatos > Alimentos Secos Gatos	mascotas/gatos/alimentos-secos-gatos	exact	26
Panadería y Pastelería > Pastelería > Pasteles, Galletas y Masas Dulces	panaderia-y-pasteleria/pasteleria/pasteles-galletas-y-masas-dulces	exact	26
Quesos y Fiambres > Aceitunas, Pepinillos y Otros > Pepinillos y Pickles	quesos-y-fiambres/aceitunas-pepinillos-y-otros/pepinillos-y-pickles	exact	26
Cuidado Personal y Bebé > Bebé > Accesorios de Bebé	cuidado-personal-y-bebe/bebe/accesorios-de-bebe	exact	25
Despensa > Mermeladas, Miel y Otros > Mermeladas	despensa/mermeladas-miel-y-otros/mermeladas	exact	25
Despensa > Sopas, Cremas e Instantáneos > Caldos	despensa/sopas-cremas-e-instantaneos/caldos	exact	25
Licores, Bebidas y Aguas > Jugos > Jugos en Polvo	licores-bebidas-y-aguas/jugos/jugos-en-polvo	exact	25
Limpieza > Aerosoles y Aromatizantes > Insecticidas	limpieza/aerosoles-y-aromatizantes/insecticidas	exact	25
Lácteos, Huevos y Congelados > Helados y Postres > Helados Tradicionales	lacteos-huevos-y-congelados/helados-y-postres/helados-tradicionales	exact	25
Lácteos, Huevos y Congelados > Yoghurt > Yoghurt Sin Lactosa	lacteos-huevos-y-congelados/yoghurt/yoghurt-sin-lactosa	exact	25
Panadería y Pastelería > Pastelería > Tortas	panaderia-y-pasteleria/pasteleria/tortas	exact	25
Quesos y Fiambres > Aceitunas, Pepinillos y Otros > Chucrut y Otros	quesos-y-fiambres/aceitunas-pepinillos-y-otros/chucrut-y-otros	exact	25
Quesos y Fiambres > Fiambres > Jamón Serrano, Lomo Kassler y Otros	quesos-y-fiambres/fiambres/jamon-serrano-lomo-kassler-y-otros	exact	25
Quesos y Fiambres > Quesos > Chacras, Frescos y Quesillos	quesos-y-fiambres/quesos/chacras-frescos-y-quesillos	exact	25
Chocolates, Galletas y Snacks > Chocolates > Chocolates y Tentaciones	chocolates-galletas-y-snacks/chocolates/chocolates-y-tentaciones	exact	24
Chocolates, Galletas y Snacks > Galletas Dulces > Galletas Rellenas y Bañadas	chocolates-galletas-y-snacks/galletas-dulces	prefix	24
Chocolates, Galletas y Snacks > Galletas Dulces > Galletas Tradicionales	chocolates-galletas-y-snacks/galletas-dulces	prefix	24
Frutas y Verduras > Frutos Secos y Semillas > Frutas Deshidratadas	frutas-y-verduras/frutos-secos-y-semillas/frutas-deshidratadas	exact	24
Hogar, Juguetería y Librería > Juguetería > Manualidades		none	24
Licores, Bebidas y Aguas > Bebidas Gaseosas > Bebidas Regulares	licores-bebidas-y-aguas	prefix	24
Limpieza > Baño > Limpiadores de Baño	limpieza/bano/limpiadores-de-bano	exact	24
Lácteos, Huevos y Congelados > Hamburguesas > Hamburguesas de Vacuno	lacteos-huevos-y-congelados/hamburguesas/hamburguesas-de-vacuno	exact	24
Lácteos, Huevos y Congelados > Yoghurt > Yoghurt Natural y Griego	lacteos-huevos-y-congelados/yoghurt/yoghurt-natural-y-griego	exact	24
Mascotas > Perros > Cuidado e Higiene Perros	mascotas/perros	prefix	24
Cuidado Personal y Bebé > Cuidado Facial > Cremas e Hidratación Facial	cuidado-personal-y-bebe/cuidado-facial/cremas-e-hidratacion-facial	exact	23
Cuidado Personal y Bebé > Cuidado Facial > Limpieza Facial	cuidado-personal-y-bebe/cuidado-facial/limpieza-facial	exact	23
Licores, Bebidas y Aguas > Bebidas Gaseosas > Bebidas en Lata e Individuales	licores-bebidas-y-aguas	prefix	23
Licores, Bebidas y Aguas > Destilados > Gin	licores-bebidas-y-aguas/destilados/gin	exact	23
Limpieza > Papeles Hogar > Papel Higiénico	limpieza/papeles-hogar/papel-higienico	exact	23
Limpieza > Pisos y Muebles > Ceras y Virutillas	limpieza/pisos-y-muebles/ceras-y-virutillas	exact	23
Cuidado Personal y Bebé > Cuidado Corporal > Accesorios Cuidado Corporal	cuidado-personal-y-bebe/cuidado-corporal/accesorios-cuidado-corporal	exact	22
Despensa > Café y Cafeteras > Cápsulas de Café	despensa/cafe-y-cafeteras/capsulas-de-cafe	exact	22
Frutas y Verduras > Frutas y verduras orgánicas > Verduras Orgánicas	frutas-y-verduras/frutas-y-verduras-organicas	prefix	22
Licores, Bebidas y Aguas > Bebidas Gaseosas > Bebidas Light o Zero Azúcar	licores-bebidas-y-aguas	prefix	22
Licores, Bebidas y Aguas > Destilados > Pisco	licores-bebidas-y-aguas/destilados/pisco	exact	22
Limpieza > Cocina > Lavalozas	limpieza/cocina/lavalozas	exact	22
Lácteos, Huevos y Congelados > Helados y Postres > Helados Multipack	lacteos-huevos-y-congelados/helados-y-postres/helados-multipack	exact	22
Mascotas > Gatos > Alimentos Húmedos Gatos	mascotas/gatos/alimentos-humedos-gatos	exact	22
Despensa > Café y Cafeteras > Café Saborizados y Cremas	despensa/cafe-y-cafeteras/cafe-saborizados-y-cremas	exact	21
Despensa > Sopas, Cremas e Instantáneos > Bases y Salsas	despensa/sopas-cremas-e-instantaneos/bases-y-salsas	exact	21
Hogar, Juguetería y Librería > Automóvil, Ferretería y Jardín > Ferretería		none	21
Licores, Bebidas y Aguas > Bebidas Isotónicas y Sueros > Bebidas Isotónicas	licores-bebidas-y-aguas/bebidas-isotonicas-y-sueros/bebidas-isotonicas	exact	21
Cuidado Personal y Bebé > Desodorantes > Desodorantes en Barra	cuidado-personal-y-bebe/desodorantes/desodorantes-en-barra	exact	20
Licores, Bebidas y Aguas > Infusiones Frías > Té Helado	licores-bebidas-y-aguas/infusiones-frias/te-helado	exact	20
Limpieza > Limpieza de Ropa > Suavizantes y Aromatizantes Tela	limpieza/limpieza-de-ropa/suavizantes-y-aromatizantes-tela	exact	20
Quesos y Fiambres > Quesos > Crema y Untables	quesos-y-fiambres/quesos	prefix	20
Chocolates, Galletas y Snacks > Snacks > Ramitas, Suflés y Otros Snacks	chocolates-galletas-y-snacks/snacks	prefix	19
Cuidado Personal y Bebé > Depilación > Máquinas de Depilación	cuidado-personal-y-bebe/depilacion/maquinas-de-depilacion	exact	19
Despensa > Aderezos y Salsas > Ketchup	despensa/aderezos-y-salsas/ketchup	exact	19
Despensa > Conservas > Compotas y Pouch	despensa/conservas/compotas-y-pouch	exact	19
Hogar, Juguetería y Librería > Juguetería > Juguetes de Roles y Mini Hogar		none	19
Hogar, Juguetería y Librería > Librería y Escolares > Papelería		none	19
Licores, Bebidas y Aguas > Agua Tónica y Ginger Beer > Agua Tónica	licores-bebidas-y-aguas/agua-tonica-y-ginger-beer/agua-tonica	exact	19
Limpieza > Cocina > Lavavajillas	limpieza/cocina/lavavajillas	exact	19
Limpieza > Pisos y Muebles > Lustramuebles y Limpiadores de metales	limpieza/pisos-y-muebles	prefix	19
Lácteos, Huevos y Congelados > Yoghurt > Yoghurt Light y Sin Azúcar	lacteos-huevos-y-congelados/yoghurt/yoghurt-light-y-sin-azucar	exact	19
Quesos y Fiambres > Salchichas y Parrilleros > Salchichas	quesos-y-fiambres/salchichas-y-parrilleros/salchichas	exact	19
Chocolates, Galletas y Snacks > Chocolates > Mazapán y Turrones	chocolates-galletas-y-snacks/chocolates/mazapan-y-turrones	exact	18
Chocolates, Galletas y Snacks > Snacks > Snacks Vegetales	chocolates-galletas-y-snacks/snacks/snacks-vegetales	exact	18
Cuidado Personal y Bebé > Bebé > Leche y Suplementos Infantiles	cuidado-personal-y-bebe/bebe/leche-y-suplementos-infantiles	exact	18
Despensa > Fideos, Pastas y Salsas > Lasañas y Rellenos	despensa/fideos-pastas-y-salsas/lasanas-y-rellenos	exact	18
Despensa > Té, Infusiones y Mate > Infusiones y Hierbas	despensa/te-infusiones-y-mate/infusiones-y-hierbas	exact	18
Licores, Bebidas y Aguas > Destilados > Whisky	licores-bebidas-y-aguas/destilados/whisky	exact	18
Cuidado Personal y Bebé > Higiene Bucal > Enjuague Bucal	cuidado-personal-y-bebe/higiene-bucal/enjuague-bucal	exact	17
Despensa > Arroz, Quinoa, Cuscús > Arroz	despensa/arroz-quinoa-cuscus/arroz	exact	17
Despensa > Conservas > Comidas Listas	despensa/conservas/comidas-listas	exact	17
Licores, Bebidas y Aguas > Cervezas > Cervezas sin Alcohol	licores-bebidas-y-aguas/cervezas	prefix	17
Lácteos, Huevos y Congelados > Verduras Congeladas > Choclos, Arvejas y Primaveras	lacteos-huevos-y-congelados/verduras-congeladas/choclos-arvejas-y-primaveras	exact	17
Lácteos, Huevos y Congelados > Verduras Congeladas > Otras Verduras	lacteos-huevos-y-congelados/verduras-congeladas/otras-verduras	exact	17
Panadería y Pastelería > Panadería envasada > Cocktail y tostadas	panaderia-y-pasteleria/panaderia-envasada	prefix	17
Cuidado Personal y Bebé > Desodorantes > Desodorantes Roll-on	cuidado-personal-y-bebe/desodorantes/desodorantes-roll-on	exact	16
Cuidado Personal y Bebé > Incontinencia y Pañales Adulto > Pañales Adulto	cuidado-personal-y-bebe/incontinencia-y-panales-adulto/panales-adulto	exact	16
Despensa > Harinas, Postres y Repostería > Cremas	despensa/harinas-postres-y-reposteria	prefix	16
Farmacia > Suplementos y Vitaminas > Suplementos Alimenticios	farmacia/suplementos-y-vitaminas/suplementos-alimenticios	exact	16
Hogar, Juguetería y Librería > Juguetería > Juegos de Mesa y Cartas		none	16
Licores, Bebidas y Aguas > Vinos > Sangría, Cóctel de Vino y Coolers	licores-bebidas-y-aguas/vinos/sangria-coctel-de-vino-y-coolers	exact	16
Limpieza > Papeles Hogar > Servilletas	limpieza/papeles-hogar/servilletas	exact	16
Lácteos, Huevos y Congelados > Leches > Saborizantes	lacteos-huevos-y-congelados/leches/saborizantes	exact	16
Lácteos, Huevos y Congelados > Yoghurt > Yoghurt con Proteínas	lacteos-huevos-y-congelados/yoghurt/yoghurt-con-proteinas	exact	16
Quesos y Fiambres > Fiambres > Paté	quesos-y-fiambres/fiambres/pate	exact	16
Chocolates, Galletas y Snacks > Dulces > Alfajores, Pasteles y Queques	chocolates-galletas-y-snacks/dulces	prefix	15
Cuidado Personal y Bebé > Cuidado Corporal > Colonias y Body Mist	cuidado-personal-y-bebe/cuidado-corporal/colonias-y-body-mist	exact	15
Cuidado Personal y Bebé > Cuidado Corporal > Cremas para Manos	cuidado-personal-y-bebe/cuidado-corporal/cremas-para-manos	exact	15
Cuidado Personal y Bebé > Protección Femenina > Calzones y Copas Menstruales	cuidado-personal-y-bebe/proteccion-femenina/calzones-y-copas-menstruales	exact	15
Despensa > Arroz, Quinoa, Cuscús > Quinoa, Cuscús y Semillas	despensa/arroz-quinoa-cuscus/quinoa-cuscus-y-semillas	exact	15
Despensa > Café y Cafeteras > Café Instantáneo	despensa/cafe-y-cafeteras/cafe-instantaneo	exact	15
Despensa > Fideos, Pastas y Salsas > Fideos de Arroz y Legumbres	despensa/fideos-pastas-y-salsas/fideos-de-arroz-y-legumbres	exact	15
Hogar, Juguetería y Librería > Electro y Tecnología > Calefacción		none	15
Lácteos, Huevos y Congelados > Frutas y Pulpas Congeladas > Frutas Congeladas	lacteos-huevos-y-congelados/frutas-y-pulpas-congeladas/frutas-congeladas	exact	15
Lácteos, Huevos y Congelados > Leches > Leche en Polvo	lacteos-huevos-y-congelados/leches/leche-en-polvo	exact	15
Panadería y Pastelería > Pastelería > Pan de Pascua	panaderia-y-pasteleria/pasteleria/pan-de-pascua	exact	15
Quesos y Fiambres > Quesos > Gauda	quesos-y-fiambres/quesos/gauda	exact	15
Quesos y Fiambres > Quesos > Rallados y Granulados	quesos-y-fiambres/quesos/rallados-y-granulados	exact	15
Chocolates, Galletas y Snacks > Pastas para Cóctel y Untables > Salsas y Dip Untables	chocolates-galletas-y-snacks	prefix	14
Cuidado Personal y Bebé > Maquillaje > Maquillaje Ojos	cuidado-personal-y-bebe/maquillaje/maquillaje-ojos	exact	14
Despensa > Aceites, Sal y Condimentos > Aceite	despensa/aceites-sal-y-condimentos/aceite	exact	14
Despensa > Aceites, Sal y Condimentos > Vinagres y Sucedáneos	despensa/aceites-sal-y-condimentos/vinagres-y-sucedaneos	exact	14
Despensa > Arroz, Quinoa, Cuscús > Arroz Preparado	despensa/arroz-quinoa-cuscus/arroz-preparado	exact	14
Despensa > Azúcar y Endulzantes > Azúcar	despensa/azucar-y-endulzantes/azucar	exact	14
Despensa > Café y Cafeteras > Café Liofilizado	despensa/cafe-y-cafeteras/cafe-liofilizado	exact	14
Limpieza > Papeles Hogar > Toallas de Papel	limpieza/papeles-hogar/toallas-de-papel	exact	14
Panadería y Pastelería > Masas y Tortillas > Tortillas	panaderia-y-pasteleria/masas-y-tortillas/tortillas	exact	14
Panadería y Pastelería > Panadería envasada > Pan sin gluten	panaderia-y-pasteleria/panaderia-envasada	prefix	14
Carnes y Pescados > Pollo > Alitas y Trutros de Pollo	carnes-y-pescados/pollo/alitas-y-trutros-de-pollo	exact	13
Chocolates, Galletas y Snacks > Galletas Saladas > Galletas de Cóctel	chocolates-galletas-y-snacks/galletas-saladas	prefix	13
Cuidado Personal y Bebé > Incontinencia y Pañales Adulto > Incontinencia	cuidado-personal-y-bebe/incontinencia-y-panales-adulto/incontinencia	exact	13
Cuidado Personal y Bebé > Protección Femenina > Protectores Diarios	cuidado-personal-y-bebe/proteccion-femenina/protectores-diarios	exact	13
Despensa > Fideos, Pastas y Salsas > Fideos Integrales, Sin Gluten y Otros	despensa/fideos-pastas-y-salsas/fideos-integrales-sin-gluten-y-otros	exact	13
Despensa > Legumbres > Lentejas	despensa/legumbres/lentejas	exact	13
Farmacia > Suplementos y Vitaminas > Vitaminas y Multivitamínicos	farmacia/suplementos-y-vitaminas/vitaminas-y-multivitaminicos	exact	13
Licores, Bebidas y Aguas > Aguas > Aguas Purificadas	licores-bebidas-y-aguas/aguas/aguas-purificadas	exact	13
Licores, Bebidas y Aguas > Bebidas Energéticas	licores-bebidas-y-aguas/bebidas-energeticas	exact	13
Licores, Bebidas y Aguas > Cócteles > Mango y Pisco sour	licores-bebidas-y-aguas/cocteles	prefix	13
Lácteos, Huevos y Congelados > Bebidas Vegetales > Bebidas de Almendras y Coco	lacteos-huevos-y-congelados/bebidas-vegetales	prefix	13
Mascotas > Perros > Alimentos Húmedos Perros	mascotas/perros/alimentos-humedos-perros	exact	13
Quesos y Fiambres > Fiambres > Mortadelas, Arrollados y Otros	quesos-y-fiambres/fiambres/mortadelas-arrollados-y-otros	exact	13
Carnes y Pescados > Pescados > Pescados Congelados	carnes-y-pescados/pescados/pescados-congelados	exact	12
Chocolates, Galletas y Snacks > Snacks > Cabritas	chocolates-galletas-y-snacks/snacks/cabritas	exact	12
Despensa > Té, Infusiones y Mate > Yerba Mate	despensa/te-infusiones-y-mate/yerba-mate	exact	12
Experiencias Jumbo > Comidas Preparadas > Entradas y Ensaladas	experiencias-jumbo/comidas-preparadas/entradas-y-ensaladas	exact	12
Hogar, Juguetería y Librería > Juguetería > Figuras de Acción y Coleccionables		none	12
Licores, Bebidas y Aguas > Infusiones Frías > Kombucha	licores-bebidas-y-aguas/infusiones-frias/kombucha	exact	12
Licores, Bebidas y Aguas > Licores y Spritz > Fernet y Licores de Hierba	licores-bebidas-y-aguas/licores-y-spritz/fernet-y-licores-de-hierba	exact	12
Limpieza > Accesorios de Limpieza > Limpiadores de Calzado	limpieza/accesorios-de-limpieza/limpiadores-de-calzado	exact	12
Limpieza > Accesorios de Limpieza > Otros Accesorios de Limpieza	limpieza/accesorios-de-limpieza/otros-accesorios-de-limpieza	exact	12
Lácteos, Huevos y Congelados > Comidas Congeladas > Comida Chilena	lacteos-huevos-y-congelados/comidas-congeladas/comida-chilena	exact	12
Lácteos, Huevos y Congelados > Comidas Congeladas > Quiches, Sopaipillas y Otros	lacteos-huevos-y-congelados/comidas-congeladas/quiches-sopaipillas-y-otros	exact	12
